lsoa,employ_score,edu_score,health_score,income_score,enviroment_score
E01000001,0.015,0.021,-1.918,0.011,34.502
E01000002,0.017,0.04,-1.931,0.012,37.106
E01000003,0.088,9.612,0.321,0.105,48.337
E01000005,0.144,15.045,0.05,0.217,34.811
E01000006,0.094,14.525,-0.39,0.133,30.477
E01000007,0.202,9.471,0.251,0.3,34.438
E01000008,0.17,27.271,0.289,0.29,26.95
E01000009,0.134,12.983,0.526,0.219,34.481
E01000010,0.078,13.277,0.139,0.197,38.231
E01000011,0.102,20.128,-0.04,0.203,31.691
E01000012,0.124,20.676,-0.114,0.263,44.706
E01000013,0.187,30.488,0.694,0.25,30.067
E01000014,0.165,34.58,0.489,0.242,26.352
E01000015,0.177,28.252,0.511,0.294,27.776
E01000016,0.171,30.756,0.418,0.256,22.581
E01000017,0.21,29.919,0.888,0.292,25.397
E01000018,0.172,33.241,0.566,0.283,18.505
E01000019,0.186,26.977,0.144,0.269,20.511
E01000020,0.163,27.457,0.716,0.24,23.084
E01000021,0.181,32.244,0.656,0.284,43.572
E01000022,0.173,30.798,0.22,0.22,24.505
E01000023,0.135,28.784,0.465,0.297,30.609
E01000024,0.148,30.908,0.53,0.227,25.661
E01000025,0.178,30.659,0.598,0.256,26.808
E01000027,0.178,46.638,0.616,0.295,17.31
E01000028,0.214,28.136,1.473,0.324,13.087
E01000029,0.11,19.024,0.144,0.139,19.141
E01000030,0.181,38.598,0.424,0.314,21.883
E01000031,0.121,12.981,-0.038,0.143,26.07
E01000032,0.137,23.528,0.404,0.175,33.927
E01000033,0.215,36.797,0.483,0.297,23.507
E01000034,0.172,32.755,0.866,0.274,14.517
E01000035,0.128,22.417,0.32,0.191,23.035
E01000036,0.099,18.761,-0.146,0.142,30.868
E01000037,0.153,19.495,-0.347,0.147,18.161
E01000038,0.121,18.619,-0.043,0.143,16.214
E01000039,0.106,22.335,0.164,0.156,16.21
E01000040,0.189,27.243,0.177,0.266,26.427
E01000041,0.152,37.655,0.403,0.213,29.204
E01000042,0.234,33.421,0.393,0.338,24.491
E01000043,0.153,32.146,0.35,0.237,27.521
E01000044,0.114,22.648,-0.108,0.195,36.819
E01000045,0.154,26.985,0.286,0.267,41.391
E01000046,0.151,31.274,0.209,0.232,26.087
E01000048,0.245,25.843,0.853,0.38,23.015
E01000049,0.172,28.621,0.487,0.304,25.937
E01000050,0.14,25.82,0.564,0.211,41.971
E01000051,0.196,29.678,0.537,0.327,27.814
E01000052,0.133,28.5,0.243,0.223,31.418
E01000053,0.177,29.072,0.897,0.283,30.049
E01000054,0.138,26.969,0.22,0.232,24.27
E01000055,0.155,31.103,-0.102,0.229,24.15
E01000056,0.191,26.46,0.856,0.283,24.446
E01000057,0.188,33.542,0.408,0.268,27.935
E01000058,0.157,26.186,0.135,0.237,26.121
E01000059,0.193,27.418,0.172,0.267,27.838
E01000060,0.187,23.269,0.665,0.28,20.634
E01000061,0.253,43.438,0.978,0.414,16.687
E01000062,0.134,32.463,0.168,0.217,17.52
E01000063,0.17,35.98,0.287,0.241,24.595
E01000064,0.164,31.12,0.814,0.244,31.889
E01000065,0.195,28.791,1.112,0.266,25.844
E01000066,0.125,20.196,0.16,0.154,15.929
E01000067,0.097,17.368,-0.222,0.163,17.651
E01000068,0.101,14.954,0.018,0.159,21.528
E01000069,0.087,16.125,-0.244,0.104,18.754
E01000070,0.103,15.134,-0.476,0.135,24.524
E01000071,0.074,15.911,-0.13,0.149,20.022
E01000072,0.176,35.4,0.667,0.276,35.696
E01000073,0.171,37.697,0.747,0.256,22.804
E01000074,0.157,30.851,0.881,0.26,19.598
E01000075,0.155,33.027,0.291,0.237,36.327
E01000076,0.199,37.948,0.691,0.252,23.312
E01000077,0.182,34.523,0.437,0.26,32.429
E01000078,0.151,35.056,0.19,0.287,30.221
E01000079,0.174,29.921,0.771,0.253,24.235
E01000080,0.185,26.006,0.474,0.24,21.008
E01000081,0.153,32.488,0.484,0.197,24.378
E01000082,0.166,27.652,0.447,0.225,28.441
E01000083,0.175,27.978,0.571,0.296,30.662
E01000084,0.175,42.675,0.482,0.284,28.959
E01000085,0.18,36.289,0.432,0.248,27.669
E01000086,0.17,28.087,0.936,0.249,25.582
E01000087,0.163,31.003,0.66,0.248,29.363
E01000088,0.138,24.87,0.568,0.196,33.36
E01000089,0.133,26.1,0.128,0.211,37.801
E01000090,0.133,22.368,-0.209,0.218,23.777
E01000091,0.218,38.37,0.658,0.33,23.48
E01000092,0.147,20.105,-0.009,0.227,18.078
E01000093,0.224,30.957,0.776,0.304,25.505
E01000094,0.116,14.151,0.345,0.227,30.354
E01000095,0.135,28.572,0.134,0.223,15.912
E01000096,0.143,33.899,0.346,0.344,31.316
E01000097,0.178,34.597,0.949,0.281,24.714
E01000098,0.185,33.62,0.587,0.259,21.239
E01000099,0.149,26.637,0.555,0.241,22.122
E01000100,0.179,28.331,0.308,0.256,31.192
E01000101,0.176,28.401,0.915,0.286,32.979
E01000102,0.176,26.767,0.72,0.288,25.435
E01000103,0.166,38.658,0.533,0.303,19.068
E01000104,0.21,31.0,0.324,0.303,20.33
E01000105,0.217,37.926,0.92,0.312,21.12
E01000106,0.22,30.012,0.479,0.317,36.605
E01000107,0.142,25.511,0.19,0.172,21.421
E01000108,0.118,22.549,0.192,0.186,41.181
E01000109,0.126,25.054,0.066,0.176,29.251
E01000110,0.093,14.102,0.115,0.115,16.262
E01000111,0.129,23.612,0.225,0.241,29.581
E01000112,0.096,16.704,-0.196,0.155,35.826
E01000113,0.117,13.913,-0.247,0.196,28.442
E01000114,0.111,20.937,0.082,0.185,30.631
E01000115,0.048,3.58,-1.326,0.045,12.008
E01000116,0.066,3.548,-1.018,0.089,17.71
E01000117,0.07,6.166,-1.128,0.087,18.137
E01000118,0.078,8.245,-1.148,0.099,13.876
E01000119,0.06,3.487,-1.242,0.093,18.149
E01000120,0.063,4.206,-1.19,0.08,15.45
E01000121,0.216,25.501,0.812,0.314,12.994
E01000122,0.064,2.726,-1.269,0.082,17.123
E01000123,0.066,8.788,-0.761,0.102,14.84
E01000124,0.137,12.366,-0.025,0.197,26.682
E01000125,0.12,28.111,0.248,0.244,28.006
E01000126,0.17,14.402,0.341,0.281,30.59
E01000127,0.166,22.471,0.109,0.254,19.029
E01000128,0.11,26.48,-0.614,0.21,22.006
E01000129,0.135,29.039,0.387,0.256,32.726
E01000130,0.156,19.589,0.17,0.245,38.234
E01000131,0.093,13.805,-0.262,0.114,17.759
E01000132,0.132,22.903,-0.03,0.22,18.638
E01000133,0.203,28.225,0.604,0.25,23.073
E01000134,0.126,17.314,-0.217,0.227,23.376
E01000135,0.066,3.744,-0.559,0.088,23.999
E01000136,0.029,4.043,-1.601,0.043,29.014
